Game ID,Home,Home Elo,Home Score,Away,Away Elo,Away Score,Obs. Spread,Pred. Spread,Elo Diff.,Home Win,Away Win
354,Lehigh,1284.05,13,UC-Davis,1371.51,41,28,8.75,87.46,0,1
355,Oklahoma,1674.73,48,UCLA,1456.93,14,34,21.78,217.8,1,0
356,Massachusetts,1235.37,17,UNC-Charlotte,1414.8,52,35,17.94,179.43,0,1
357,Idaho St,1234.34,0,Utah,1703.18,31,31,46.88,468.84,0,1
358,Central Conn St,1543.52,42,Valparaiso,1173.23,13,29,37.03,370.29,1,0
359,Florida St,1557.52,24,Virginia,1600.93,31,7,4.34,43.42,0,1
360,Furman,1483.81,17,Virginia Tech,1611.9,24,7,12.81,128.09,0,1
361,Hawai`i,1531.49,20,Washington,1588.25,52,32,5.68,56.76,0,1
362,North Carolina St,1450.19,27,West Virginia,1455.98,44,17,0.58,5.79,0,1
364,Montana St,1523.76,23,Western Illinois,1229.84,14,9,29.39,293.92,1,0
365,Louisville,1552.26,38,Western Kentucky,1493.81,21,17,5.84,58.45,1,0
366,Georgia St,1534.13,10,Western Michigan,1541.63,57,47,0.75,7.49,0,1
367,Colgate,1271.22,10,William & Mary,1366.01,38,28,9.48,94.8,0,1
368,Samford,1367.68,21,Wofford,1509.68,14,7,14.2,142.0,1,0
369,Idaho,1351.29,16,Wyoming,1574.5,21,5,22.32,223.2,0,1
370,Duquesne,1350.67,14,Youngstown St,1407.51,34,20,5.68,56.85,0,1
371,Houston,1457.12,31,Tulane,1523.84,38,7,6.67,66.72,0,1
372,Air Force,1623.68,19,Boise St,1655.03,30,11,3.13,31.35,0,1
373,Florida Int'l,1423.54,31,Louisiana Tech,1485.98,43,12,6.24,62.44,0,1
374,Utah,1703.18,23,Southern Cal,1598.89,30,7,10.43,104.29,0,1
375,McNeese St,1397.83,10,Abilene Christian,1354.72,17,7,4.31,43.11,0,1
