,did_home_win,conference_game,neutral_site,season,week,conference,l3g_avg_points,l5g_avg_points,l7g_avg_points,l3g_avg_spread,l5g_avg_spread,l7g_avg_spread,l3g_opp_avg_points,l5g_opp_avg_points,l7g_opp_avg_points,l3g_opp_avg_spread,l5g_opp_avg_spread,l7g_opp_avg_spread,season_type_postseason,season_type_regular,conference_ACC,conference_American Athletic,conference_Big 12,conference_Big East,conference_Big Ten,conference_Conference USA,conference_FBS Independents,conference_FCS,conference_Mid-American,conference_Mountain West,conference_Pac-12,conference_SEC,conference_Sun Belt,conference_Western Athletic,team
7755,True,True,True,2019,15,Big 12,40.66666666666666,49.4,47.85714285714285,14.333333333333336,27.6,24.0,26.33333333333333,21.8,23.857142857142854,-15.333333333333336,-28.6,-25.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Oklahoma
7722,False,True,False,2019,14,Conference USA,19.33333333333333,23.0,22.0,-12.666666666666664,-10.4,-14.285714285714285,32.0,33.4,36.285714285714285,11.666666666666664,9.4,13.285714285714285,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,UTEP
7717,True,True,False,2019,14,Mountain West,20.0,20.8,24.714285714285715,-5.0,-2.2,5.142857142857143,24.0,22.0,18.571428571428573,4.0,1.2,-6.142857142857142,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Wyoming
7725,True,True,False,2019,14,Conference USA,28.66666666666667,28.0,24.0,5.0,-4.8,-9.428571428571429,22.66666666666667,31.8,32.42857142857143,-6.0,3.8,8.428571428571429,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Southern Mississippi
7749,True,True,False,2019,14,Pac-12,17.0,24.8,26.0,-22.66666666666667,-14.4,-16.571428571428573,38.66666666666666,38.2,41.57142857142857,21.66666666666667,13.4,15.571428571428573,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Arizona
7748,True,False,False,2019,14,Mountain West,18.666666666666668,24.2,22.428571428571423,3.333333333333333,8.2,6.571428571428571,15.333333333333336,16.0,15.857142857142858,-4.333333333333333,-9.2,-7.571428571428571,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,San Diego State
7760,True,True,False,2019,15,Mountain West,34.333333333333336,35.4,35.142857142857146,1.0,4.0,3.2857142857142856,32.333333333333336,30.4,30.857142857142854,-2.0,-5.0,-4.285714285714286,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hawai'i
7692,False,True,False,2019,14,Mid-American,23.66666666666667,27.0,25.57142857142857,-9.333333333333334,-5.4,0.42857142857142855,33.0,32.4,25.142857142857146,8.333333333333334,4.4,-1.4285714285714286,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Eastern Michigan
7703,False,True,False,2019,14,Big 12,17.333333333333332,17.6,24.42857142857143,-13.333333333333336,-13.6,-10.428571428571429,29.66666666666667,30.2,33.857142857142854,12.333333333333336,12.6,9.428571428571429,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,West Virginia
7741,True,True,False,2019,14,SEC,22.66666666666667,20.4,20.142857142857142,0.6666666666666666,-3.6,-4.571428571428571,21.0,23.0,23.714285714285715,-1.6666666666666667,2.6,3.571428571428572,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Texas A&M
7730,True,True,False,2019,14,Big Ten,12.666666666666664,20.6,19.714285714285715,-43.33333333333334,-18.8,-19.0,55.0,38.4,37.714285714285715,42.333333333333336,17.8,18.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Maryland
7736,False,True,False,2019,14,Mountain West,16.666666666666668,22.8,24.714285714285715,-20.33333333333333,-13.4,-11.571428571428573,36.0,35.2,35.285714285714285,19.33333333333333,12.4,10.571428571428571,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Utah State
7754,True,True,False,2019,15,Sun Belt,40.66666666666666,40.8,35.714285714285715,21.66666666666667,19.2,13.285714285714285,18.0,20.6,21.428571428571427,-22.66666666666667,-20.2,-14.285714285714285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Louisiana
7714,True,True,False,2019,14,Conference USA,29.33333333333333,27.0,30.857142857142854,12.666666666666664,0.4,2.571428571428572,16.666666666666668,26.6,28.285714285714285,-13.666666666666664,-1.4,-3.571428571428572,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Marshall
7723,True,True,False,2019,14,Conference USA,55.33333333333334,45.8,38.857142857142854,32.666666666666664,23.2,16.571428571428573,22.66666666666667,22.6,22.285714285714285,-33.666666666666664,-24.2,-17.571428571428573,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Louisiana Tech
7760,True,True,False,2019,15,Mountain West,40.333333333333336,39.2,32.285714285714285,19.33333333333333,20.8,15.428571428571427,21.0,18.4,16.857142857142858,-20.33333333333333,-21.8,-16.428571428571427,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Boise State
7707,False,True,False,2019,14,American Athletic,25.33333333333333,23.4,23.857142857142854,-10.666666666666666,-7.4,-10.428571428571429,35.0,29.8,33.285714285714285,9.666666666666666,6.4,9.428571428571429,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tulsa
7716,True,True,False,2019,14,ACC,15.666666666666664,29.4,32.857142857142854,-22.66666666666667,0.4,3.571428571428572,37.333333333333336,28.0,28.285714285714285,21.66666666666667,-1.4,-4.571428571428571,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Wake Forest
7711,False,True,False,2019,14,Big Ten,9.333333333333334,11.8,13.857142857142858,-15.333333333333336,-15.8,-9.571428571428571,23.66666666666667,26.6,22.428571428571423,14.333333333333336,14.8,8.571428571428571,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Northwestern
7751,False,True,False,2019,14,Pac-12,34.666666666666664,26.4,29.714285714285715,3.333333333333333,-6.6,-4.714285714285714,31.33333333333333,33.0,34.42857142857143,-4.333333333333333,5.6,3.7142857142857135,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,UCLA
7753,True,True,True,2019,15,Pac-12,31.66666666666667,31.4,38.42857142857143,14.666666666666664,19.2,28.42857142857143,17.0,12.2,10.0,-15.666666666666664,-20.2,-29.42857142857143,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Oregon
7713,True,False,False,2019,14,SEC,30.66666666666667,27.4,30.285714285714285,20.33333333333333,11.4,12.142857142857142,10.333333333333334,16.0,18.142857142857142,-21.33333333333333,-12.4,-13.142857142857142,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Kentucky
7763,True,False,True,2019,15,FBS Independents,21.66666666666667,20.8,23.142857142857146,-11.666666666666664,-5.6,-2.571428571428572,32.333333333333336,25.4,24.714285714285715,10.666666666666666,4.6,1.5714285714285714,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Army
7701,False,True,False,2019,14,Mountain West,22.66666666666667,28.2,26.57142857142857,-3.6666666666666665,1.6,-1.4285714285714286,26.33333333333333,26.6,28.0,2.6666666666666665,-2.6,0.42857142857142855,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Colorado State
7729,False,True,False,2019,14,Big Ten,39.0,38.4,33.42857142857143,24.66666666666667,20.0,13.857142857142858,14.333333333333336,18.4,19.571428571428573,-25.66666666666667,-21.0,-14.857142857142858,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Minnesota
7722,False,True,False,2019,14,Conference USA,26.0,19.0,17.857142857142858,-6.333333333333332,-12.0,-14.428571428571427,31.33333333333333,30.0,31.285714285714285,5.333333333333333,11.0,13.428571428571427,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rice
