,game_id,home_team,away_team
557,557,Middle Tennessee,Louisiana
558,558,USC,Stanford
559,559,UTEP,Southern Mississippi
560,560,Ohio State,Wisconsin
561,561,Georgia Tech,Clemson
562,562,New Mexico State,Nevada
563,563,San Diego State,Wyoming
564,564,Washington,Arizona
565,565,Toledo,Northern Illinois
566,566,Ohio,Temple
567,567,Miami (OH),Akron
568,568,UCF,Tulsa
569,569,Boston College,Florida State
570,570,Kent State,Central Michigan
571,571,Colorado,USC
572,572,Texas,Texas Tech
573,573,Iowa,Michigan
574,574,Michigan State,Minnesota
575,575,West Virginia,Louisville
576,576,Connecticut,Syracuse
577,577,Eastern Michigan,Ball State
578,578,Ohio State,Indiana
579,579,Florida,Vanderbilt
580,580,Maryland,Virginia
581,581,Iowa State,Kansas
582,582,NC State,North Carolina
583,583,Georgia,New Mexico State
584,584,Wyoming,TCU
585,585,SMU,Tulane
586,586,Miami,Duke
587,587,Navy,Troy
588,588,Air Force,Army
589,589,Louisiana,Louisiana Monroe
590,590,Kentucky,Ole Miss
591,591,Rice,UTEP
592,592,Oklahoma,Texas A&M
593,593,Oregon State,Stanford
594,594,Nebraska,Northwestern
595,595,Wisconsin,Purdue
596,596,Western Kentucky,Florida International
597,597,Florida Atlantic,Arkansas State
598,598,East Carolina,Southern Mississippi
599,599,San José State,Idaho
600,600,California,Washington State
601,601,Pittsburgh,Cincinnati
602,602,Arizona,Utah
603,603,Rutgers,South Florida
604,604,Baylor,Missouri
605,605,Tennessee,Middle Tennessee
606,606,UAB,Houston
607,607,Arkansas,South Carolina
608,608,UCLA,Arizona State
609,609,Mississippi State,UT Martin
610,610,San Diego State,New Mexico
611,611,Wake Forest,Notre Dame
612,612,Oklahoma State,Kansas State
613,613,Alabama,LSU
614,614,Washington,Oregon
615,615,UNLV,Boise State
616,616,Fresno State,Louisiana Tech
617,617,Hawai'i,Utah State
618,618,Toledo,Western Michigan
619,619,Bowling Green,Northern Illinois
620,620,Temple,Miami (OH)
621,621,Central Michigan,Ohio
622,622,Tulane,Houston
623,623,Georgia Tech,Virginia Tech
624,624,Syracuse,South Florida
625,625,Penn State,Nebraska
626,626,Clemson,Wake Forest
627,627,South Carolina,Florida
628,628,Texas Tech,Oklahoma State
629,629,Tulsa,Marshall
630,630,Northwestern,Rice
631,631,Iowa,Michigan State
632,632,Missouri,Texas
633,633,Louisville,Pittsburgh
634,634,Purdue,Ohio State
635,635,Cincinnati,West Virginia
636,636,Vanderbilt,Kentucky
637,637,Boston College,NC State
638,638,Troy,North Texas
639,639,Eastern Michigan,Buffalo
640,640,Kansas,Baylor
641,641,Air Force,Wyoming
642,642,Akron,Kent State
643,643,Colorado,Arizona
644,644,Virginia,Duke
645,645,Utah State,San José State
646,646,Arkansas State,Louisiana
647,647,Illinois,Michigan
648,648,Army,Rutgers
649,649,Louisiana Monroe,Middle Tennessee
650,650,SMU,Navy
651,651,Florida State,Miami
652,652,Georgia,Auburn
653,653,Minnesota,Wisconsin
654,654,Kansas State,Texas A&M
655,655,Boise State,TCU
656,656,USC,Washington
657,657,Memphis,UAB
658,658,Colorado State,San Diego State
659,659,Florida International,Florida Atlantic
660,660,Arkansas,Tennessee
661,661,Utah,UCLA
662,662,California,Oregon State
663,663,LSU,Western Kentucky
664,664,Ole Miss,Louisiana Tech
665,665,Notre Dame,Maryland
666,666,Mississippi State,Alabama
667,667,Stanford,Oregon
668,668,Southern Mississippi,UCF
669,669,UTEP,East Carolina
670,670,New Mexico State,Fresno State
671,671,BYU,Idaho
672,672,New Mexico,UNLV
673,673,Nevada,Hawai'i
674,674,Washington State,Arizona State
675,675,Northern Illinois,Ball State
676,676,Bowling Green,Ohio
677,677,Miami (OH),Western Michigan
678,678,UAB,Southern Mississippi
679,679,Memphis,Marshall
680,680,Virginia Tech,North Carolina
681,681,Iowa State,Oklahoma State
682,682,Central Michigan,Toledo
683,683,Connecticut,Louisville
684,684,Northwestern,Minnesota
685,685,Purdue,Iowa
686,686,Texas A&M,Kansas
687,687,Buffalo,Akron
688,688,Rutgers,Cincinnati
689,689,Michigan,Nebraska
690,690,Michigan State,Indiana
691,691,Illinois,Wisconsin
692,692,South Carolina,The Citadel
693,693,Georgia,Kentucky
694,694,Duke,Georgia Tech
695,695,Kent State,Eastern Michigan
696,696,Temple,Army
697,697,Florida,Furman
698,698,Auburn,Samford
699,699,Alabama,Georgia Southern
700,700,Wyoming,New Mexico
701,701,Middle Tennessee,Arkansas State
702,702,Wake Forest,Maryland
703,703,UTEP,Tulsa
704,704,NC State,Clemson
705,705,Houston,SMU
706,706,Ohio State,Penn State
707,707,South Florida,Miami
708,708,Oregon State,Washington
709,709,Missouri,Texas Tech
710,710,Arkansas,Mississippi State
711,711,Rice,Tulane
712,712,Troy,Florida Atlantic
713,713,TCU,Colorado State
714,714,Notre Dame,Boston College
715,715,San José State,Navy
716,716,Nevada,Louisiana Tech
