game_id,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
62,0,Mid-American,189,"[14, 3, 10, 0]",27,0.03086041447161325,Bowling Green,False,,Sun Belt,2653,"[7, 10, 10, 3]",30,0.9691395855283867,Troy,302472653,False,2010,regular,2010-09-04T19:00:00.000Z,,Veterans Memorial Stadium,3975.0,1
63,0,,2619,"[14, 0, 0, 0]",14,0.016832085039436562,Stony Brook,False,,Big East,58,"[14, 17, 21, 7]",59,0.9831679149605634,South Florida,302470058,False,2010,regular,2010-09-04T19:05:00.000Z,,Raymond James Stadium,3886.0,1
64,0,Big Ten,77,"[10, 0, 7, 6]",23,0.2839808098296064,Northwestern,False,,SEC,238,"[0, 9, 6, 6]",21,0.7160191901703936,Vanderbilt,302470238,False,2010,regular,2010-09-04T19:30:00.000Z,,Vanderbilt Stadium,3973.0,1
65,0,Pac-10,204,"[7, 7, 7, 0]",21,0.2759697610267151,Oregon State,True,,Mountain West,2628,"[7, 14, 7, 2]",30,0.7240302389732849,TCU,302472628,True,2010,regular,2010-09-04T19:45:00.000Z,,,,1
66,0,,2447,"[0, 0, 0, 0]",0,0.0006733684843982513,Nicholls,False,,Mountain West,21,"[0, 20, 10, 17]",47,0.9993266315156017,San Diego State,302470021,False,2010,regular,2010-09-04T20:00:00.000Z,,Qualcomm Stadium,3932.0,1
67,0,SEC,99,"[7, 23, 0, 0]",30,0.09687670147360683,LSU,False,,ACC,153,"[0, 10, 0, 14]",24,0.9031232985263932,North Carolina,302470153,True,2010,regular,2010-09-04T20:00:00.000Z,,Georgia Dome,3495.0,1
68,0,,326,"[7, 0, 7, 14]",28,0.007772138564157149,Texas State,False,,Conference USA,248,"[20, 34, 14, 0]",68,0.9922278614358429,Houston,302470248,False,2010,regular,2010-09-04T20:00:00.000Z,,Robertson Stadium,453.0,1
69,0,,253,"[7, 3, 0, 10]",20,0.44921025192899844,Southern Utah,False,,Mountain West,2751,"[7, 7, 14, 0]",28,0.5507897480710016,Wyoming,302472751,False,2010,regular,2010-09-04T21:00:00.000Z,,War Memorial Stadium,3984.0,1
70,0,,2029,"[7, 3, 0, 0]",10,0.16272306577061557,Arkansas-Pine Bluff,False,,Conference USA,2638,"[7, 7, 14, 3]",31,0.8372769342293844,UTEP,302472638,False,2010,regular,2010-09-04T21:05:00.000Z,,Sun Bowl Stadium,3946.0,1
71,0,Big East,2132,"[7, 7, 0, 0]",14,0.5233696581114078,Cincinnati,False,,Western Athletic,278,"[0, 14, 7, 7]",28,0.47663034188859216,Fresno State,302470278,False,2010,regular,2010-09-04T22:00:00.000Z,,Bulldog Stadium,3660.0,1
72,0,,2502,"[3, 3, 3, 0]",9,4.080223412739059e-05,Portland State,False,,Pac-10,9,"[16, 14, 14, 10]",54,0.9999591977658726,Arizona State,302470009,False,2010,regular,2010-09-04T22:00:00.000Z,,Sun Devil Stadium,3947.0,1
73,0,Big Ten,275,"[14, 3, 24, 0]",41,0.5449009128685107,Wisconsin,True,,Mountain West,2439,"[7, 7, 0, 7]",21,0.4550990871314892,UNLV,302472439,False,2010,regular,2010-09-04T23:00:00.000Z,,Sam Boyd Stadium,3914.0,1
74,0,Conference USA,202,"[7, 9, 13, 20]",49,0.5285729891348794,Tulsa,True,,Conference USA,151,"[10, 7, 7, 27]",51,0.4714270108651206,East Carolina,302480151,False,2010,regular,2010-09-05T14:00:00.000Z,,Dowdy-Ficklen Stadium,3699.0,1
75,0,Conference USA,2567,"[0, 7, 10, 10]",27,0.1808313699807067,SMU,False,,Big 12,2641,"[7, 14, 14, 0]",35,0.8191686300192933,Texas Tech,302482641,False,2010,regular,2010-09-05T15:30:00.000Z,,Jones AT&T Stadium,3784.0,1
76,0,FBS Independents,2426,"[0, 7, 7, 0]",14,0.4426408632371197,Navy,False,,ACC,120,"[14, 0, 0, 3]",17,0.5573591367628803,Maryland,302490120,True,2010,regular,2010-09-06T16:00:00.000Z,,,,1
77,0,Western Athletic,68,"[17, 3, 6, 7]",33,0.4509815835914679,Boise State,False,,ACC,259,"[0, 14, 13, 3]",30,0.5490184164085321,Virginia Tech,302490259,True,2010,regular,2010-09-06T20:00:00.000Z,,,,1
78,0,Mountain West,252,"[17, 14, 14, 7]",52,0.8505471159023494,BYU,False,,Conference USA,2638,"[3, 7, 7, 7]",24,0.1494528840976506,UTEP,303522638,True,2010,postseason,2010-12-18T14:00:00.000Z,,University Stadium,3971.0,1
79,0,Mid-American,2459,"[6, 17, 10, 7]",40,0.2831237634150221,Northern Illinois,False,,Western Athletic,278,"[7, 3, 0, 7]",17,0.7168762365849779,Fresno State,303520278,True,2010,postseason,2010-12-18T17:30:00.000Z,,Albertsons Stadium,3653.0,1
80,0,Mid-American,195,"[7, 0, 7, 7]",21,0.0005753508996387824,Ohio,False,,Sun Belt,2653,"[14, 24, 10, 0]",48,0.9994246491003612,Troy,303522653,True,2010,postseason,2010-12-18T21:00:00.000Z,,Mercedes-Benz Superdome,3493.0,1
81,0,Conference USA,2572,"[14, 7, 0, 7]",28,0.1779675386385957,Southern Mississippi,False,,Big East,97,"[0, 21, 0, 10]",31,0.8220324613614043,Louisville,303550097,True,2010,postseason,2010-12-21T20:00:00.000Z,,,,1
82,0,Mountain West,254,"[3, 0, 0, 0]",3,0.13256217568868944,Utah,False,,Western Athletic,68,"[0, 16, 7, 3]",26,0.8674378243113106,Boise State,303560068,True,2010,postseason,2010-12-22T20:00:00.000Z,,Sam Boyd Stadium,3914.0,1
83,0,FBS Independents,2426,"[0, 14, 0, 0]",14,0.03766821776399565,Navy,False,,Mountain West,21,"[14, 7, 0, 14]",35,0.9623317822360044,San Diego State,303570021,False,2010,postseason,2010-12-23T20:00:00.000Z,,Qualcomm Stadium,3932.0,1
84,0,Western Athletic,62,"[0, 14, 14, 7]",35,0.02353340625278355,Hawai'i,False,,Conference USA,202,"[10, 17, 21, 14]",62,0.9764665937472164,Tulsa,303580202,True,2010,postseason,2010-12-24T20:00:00.000Z,,Aloha Stadium,3610.0,1
85,0,Sun Belt,2229,"[0, 7, 14, 13]",34,0.17234079868268393,Florida International,False,,Mid-American,2649,"[7, 14, 3, 8]",32,0.8276592013173161,Toledo,303602649,True,2010,postseason,2010-12-26T20:30:00.000Z,,,,1
86,0,Mountain West,2005,"[3, 3, 0, 8]",14,0.34746615186656526,Air Force,False,,ACC,59,"[7, 0, 0, 0]",7,0.6525338481334347,Georgia Tech,303610059,True,2010,postseason,2010-12-27T17:00:00.000Z,,,,1
87,0,Big East,277,"[0, 7, 0, 0]",7,0.5375663781450593,West Virginia,False,,ACC,152,"[7, 3, 6, 7]",23,0.4624336218549408,NC State,303620152,True,2010,postseason,2010-12-28T18:30:00.000Z,,,,1
88,0,Big 12,142,"[3, 7, 14, 0]",24,0.3347607700486732,Missouri,False,,Big Ten,2294,"[7, 10, 3, 7]",27,0.6652392299513268,Iowa,303622294,True,2010,postseason,2010-12-28T22:00:00.000Z,,Sun Devil Stadium,3947.0,1
89,0,Conference USA,151,"[0, 3, 10, 7]",20,0.10849615714336291,East Carolina,False,,ACC,120,"[6, 10, 21, 14]",51,0.8915038428566371,Maryland,303630120,True,2010,postseason,2010-12-29T14:30:00.000Z,,,,1
90,0,Big Ten,356,"[6, 10, 8, 14]",38,0.5764866889336778,Illinois,False,,Big 12,239,"[0, 0, 7, 7]",14,0.4235133110663222,Baylor,303630239,True,2010,postseason,2010-12-29T18:00:00.000Z,,,,1
91,0,Big 12,197,"[17, 6, 10, 3]",36,0.12258519301673299,Oklahoma State,False,,Pac-10,12,"[7, 0, 3, 0]",10,0.877414806983267,Arizona,303630012,True,2010,postseason,2010-12-29T21:15:00.000Z,,Alamodome,3604.0,1
92,0,FBS Independents,349,"[13, 3, 0, 0]",16,0.24044490984240352,Army,False,,Conference USA,2567,"[0, 0, 7, 7]",14,0.7595550901575965,SMU,303642567,False,2010,postseason,2010-12-30T12:00:00.000Z,,Gerald J. Ford Stadium,3735.0,1
93,0,Big 12,2306,"[7, 7, 7, 13]",34,0.06934437371354896,Kansas State,False,,Big East,183,"[7, 7, 13, 9]",36,0.930655626286451,Syracuse,303640183,True,2010,postseason,2010-12-30T15:20:00.000Z,,,,1
94,0,ACC,153,"[7, 10, 0, 3, 7, 3]",30,0.7674466318330808,North Carolina,False,,SEC,2633,"[7, 7, 0, 6, 7, 0]",27,0.23255336816691924,Tennessee,303642633,True,2010,postseason,2010-12-30T18:40:00.000Z,,Nissan Stadium,3810.0,1
95,0,Big 12,158,"[0, 7, 0, 0]",7,0.07159947230889141,Nebraska,False,,Pac-10,264,"[10, 0, 7, 2]",19,0.9284005276911086,Washington,303640264,True,2010,postseason,2010-12-30T22:00:00.000Z,,Qualcomm Stadium,3932.0,1
96,0,Big East,58,"[7, 10, 7, 7]",31,0.5328331187766233,South Florida,False,,ACC,228,"[3, 10, 0, 13]",26,0.46716688122337663,Clemson,303650228,True,2010,postseason,2010-12-31T12:00:00.000Z,,,,1
97,0,FBS Independents,87,"[14, 13, 3, 3]",33,0.40646112274185464,Notre Dame,False,,ACC,2390,"[0, 3, 0, 14]",17,0.5935388772581454,Miami,303652390,True,2010,postseason,2010-12-31T14:00:00.000Z,,Sun Bowl Stadium,3946.0,1
98,0,SEC,61,"[3, 0, 3, 0]",6,0.7997297512320436,Georgia,False,,Conference USA,2116,"[0, 3, 0, 7]",10,0.20027024876795643,UCF,303652116,True,2010,postseason,2010-12-31T15:30:00.000Z,,Liberty Bowl Memorial Stadium,3805.0,1
99,0,SEC,2579,"[0, 3, 7, 7]",17,0.6952427689052267,South Carolina,False,,ACC,52,"[6, 7, 6, 7]",26,0.30475723109477326,Florida State,303650052,True,2010,postseason,2010-12-31T19:30:00.000Z,,Georgia Dome,3495.0,1
100,0,Big Ten,77,"[0, 6, 18, 14]",38,0.15982900441325887,Northwestern,False,,Big 12,2641,"[10, 14, 14, 7]",45,0.8401709955867411,Texas Tech,310012641,True,2010,postseason,2011-01-01T12:00:00.000Z,,,,1
